Dataseed	exec_aggr_points	exec_length	exec_n_desired_attributes	exec_n_desired_features	exec_convert_to_class_ttest	exec_dataset_params	use_training_form	canonical_features	ontology	# insts (TRAIN)	# insts (TEST)	T,(nothing, 3, 0.02, 0.001, false)train_cor	T,(nothing, 3, 0.02, 0.001, false)train_MAE	T,(nothing, 3, 0.02, 0.001, false)train_RMSE	T,(nothing, 3, 0.02, 0.001, false)cor	T,(nothing, 3, 0.02, 0.001, false)MAE	T,(nothing, 3, 0.02, 0.001, false)RMSE	T,(nothing, 3, 0.02, 0.001, false)n_nodes	T,(nothing, 3, 0.02, 0.001, false)n_leaves	T,(nothing, 3, 0.02, 0.001, false)height	T,(nothing, 3, 0.02, 0.001, false)modal_height	T,(nothing, 3, 0.02, 0.001, false)t	T,(nothing, 3, 0.02, 0.001, false)hash	RF,(half_f, 50, 0.7, identity, nothing, false)train_cor	RF,(half_f, 50, 0.7, identity, nothing, false)train_MAE	RF,(half_f, 50, 0.7, identity, nothing, false)train_RMSE	RF,(half_f, 50, 0.7, identity, nothing, false)cor	RF,(half_f, 50, 0.7, identity, nothing, false)MAE	RF,(half_f, 50, 0.7, identity, nothing, false)RMSE	RF,(half_f, 50, 0.7, identity, nothing, false)oob_error	RF,(half_f, 50, 0.7, identity, nothing, false)n_trees	RF,(half_f, 50, 0.7, identity, nothing, false)n_nodes	RF,(half_f, 50, 0.7, identity, nothing, false)σ² train_cor	RF,(half_f, 50, 0.7, identity, nothing, false)σ² train_MAE	RF,(half_f, 50, 0.7, identity, nothing, false)σ² train_RMSE	RF,(half_f, 50, 0.7, identity, nothing, false)σ² cor	RF,(half_f, 50, 0.7, identity, nothing, false)σ² MAE	RF,(half_f, 50, 0.7, identity, nothing, false)σ² RMSE	RF,(half_f, 50, 0.7, identity, nothing, false)σ² oob_error	RF,(half_f, 50, 0.7, identity, nothing, false)σ² n_trees	RF,(half_f, 50, 0.7, identity, nothing, false)σ² n_nodes	RF,(half_f, 50, 0.7, identity, nothing, false)t	RF,(half_f, 50, 0.7, identity, nothing, false)hash	
1	5	2/4	10	5	((25,),("NO","YES"))	("sure-v1",[:EEG],["liked"],String[],Dict{Symbol,NamedTuple}(:EEG => (nbands = 60,wintime = 0.05,steptime = 0.025)),Dict{Symbol,Union{Symbol,Vector{Int64}}}(:EEG => :auto),nothing,false)	stump_with_memoization	["TestOp_80","TestOp_80"]	["IA","IA"]	156	26	0.961596676352376	2.451282051282051	3.5061149268587695	-0.08474530875530054	15.139743589743592	17.80751605938145	83	42	12	11	23.147	ab6199a45d04c9ac4f9239f5a325f5855272c859dac6100f656b78d30ee2bf89	0.9466960419316479	5.694539316239317	7.188435843495428	0.025168790759001476	9.975346153846154	11.961664258448227	NaN	5000.0	437800.0	0.9466960419316479	5.694539316239317	7.188435843495428	0.014074274516940726	0.14226281204799496	0.08015530528824305	NaN	0.0	62400.0	161.265	("7465c2fc4147cd6335c494f3d163e47d8ef73e6d8450f357b5e8e15af08f4016", "6052325b7b6d3fa278370db554f70aec3084fd5b4f764a2509fccd2ee3fe0de3", "4d512b74ae2078c616f63ba2978f6f6167dee913e376b61d3ec4be1cfc27a3b6", "4fcc4a88560544040fb60b28c38600cc46cfc8316e986176aa640e0ea0e0e19d", "9c74e6c7763020ab65cc4bde28772de5e1a9a7b55b91639df6d4a1061ac93149")	
2	5	2/4	10	5	((25,),("NO","YES"))	("sure-v1",[:EEG],["liked"],String[],Dict{Symbol,NamedTuple}(:EEG => (nbands = 60,wintime = 0.05,steptime = 0.025)),Dict{Symbol,Union{Symbol,Vector{Int64}}}(:EEG => :auto),nothing,false)	stump_with_memoization	["TestOp_80","TestOp_80"]	["IA","IA"]	156	26	0.9419941679551218	2.9241452991452994	4.246026297167661	0.12205309210007353	9.777564102564103	12.812892061960602	81	41	10	8	2.34	d758548d016ad7999bf0c4107bf1f6957598a5f2e82c05a6e690ab23c33c35aa	0.9525181468199279	5.866787179487178	7.159791085553188	0.20050038714771098	10.511395604395606	12.497592608906585	NaN	5000.0	438480.0	0.9525181468199279	5.866787179487178	7.159791085553188	0.025721139531876023	0.15927187972467158	0.29341738724914324	NaN	0.0	53320.0	153.77	("a856763eb0f5f7470fe499fbd00268b7b8b4daf44c6efa4c9d7bfc8b3613169d", "16e9ee5817c20dfccb465db594b0b7ec2c6e0b9230719326c70b92f3c27c7f80", "0d6194d395108fa6762d410babc4466d901da579ce2612c494fd49adb8bc234d", "f64a4325db482841b30117e59741d6093072728360edba41271449b55391b0ff", "1c74d155630c1c9d4e293a6211b8cd8e63846f6dc4dabbb96021dc2638124871")	
3	5	2/4	10	5	((25,),("NO","YES"))	("sure-v1",[:EEG],["liked"],String[],Dict{Symbol,NamedTuple}(:EEG => (nbands = 60,wintime = 0.05,steptime = 0.025)),Dict{Symbol,Union{Symbol,Vector{Int64}}}(:EEG => :auto),nothing,false)	stump_with_memoization	["TestOp_80","TestOp_80"]	["IA","IA"]	156	26	0.9432280979940221	3.1335470085470085	4.240550077202835	0.15699650285189368	11.725000000000001	14.053674961181146	79	40	10	9	6.121	f855bf8dd3037061cf8fd5b6c78e677b2cd4988bf7f1a59787c64a2fc602148a	0.9504217294864287	5.724658424908424	7.0723645652773515	0.049414707613919404	9.258238461538463	11.188752143456847	NaN	5000.0	440120.0	0.9504217294864287	5.724658424908424	7.0723645652773515	0.0089687644140415	0.013375444986850659	0.03653304228535443	NaN	0.0	40920.0	158.578	("0d7815b3a07272e67284927083c0dfc858fce7491268e76ad4dd6c0b1424ca8e", "8840d43edfd1852de2a5eb68bc0592df03df09401d8ff2ff4a82e0dca12bc510", "af6c0538242f758c5319c482991bb32d1616123ba7791075bf0d8de6304eca1d", "ed517cfa76680de229ac93d593bac1568bbd2df92fa1c644efa6bbe9370103ae", "2dc0f15de47afb4bfbed2858f8a31f7a36a6afab107f7fbf8241f16a5c407451")	
4	5	2/4	10	5	((25,),("NO","YES"))	("sure-v1",[:EEG],["liked"],String[],Dict{Symbol,NamedTuple}(:EEG => (nbands = 60,wintime = 0.05,steptime = 0.025)),Dict{Symbol,Union{Symbol,Vector{Int64}}}(:EEG => :auto),nothing,false)	stump_with_memoization	["TestOp_80","TestOp_80"]	["IA","IA"]	156	26	0.9573669712331081	2.829059829059829	3.8178897379680894	0.05804045844928476	11.548076923076923	14.31936446627254	85	43	15	12	12.493	a6a17c523cba675587a647c0eeb0902f0cf8ce654bdd31d13b41d1ab62c890ac	0.9485867880560338	6.071248717948718	7.327315998581352	-0.1578357750891269	7.003530769230769	8.694707587004945	NaN	5000.0	439000.0	0.9485867880560338	6.071248717948718	7.327315998581352	0.019921139887915856	0.20356901007560776	0.2434969396154522	NaN	0.0	77200.0	156.661	("f855496233e1f86257ca000164114f64c5201acfd7553ec116cea2236c21b56b", "f60ffc5d2fa7bfe4612862caa60246b53728bcb86922f7f2843684b2b810e5be", "70ac46b96c2c3e052f198e6cdd50c53f8d31f0c956f90a958defb696d904b087", "8c00881a3c843ac56be1fa6f2bd5e11f012231cd64918e3bdadb54bf97c1b0f9", "3e046de18226944acbbd4008f51fe45311a1c12dda56d09abfa84dc344229215")	
5	5	2/4	10	5	((25,),("NO","YES"))	("sure-v1",[:EEG],["liked"],String[],Dict{Symbol,NamedTuple}(:EEG => (nbands = 60,wintime = 0.05,steptime = 0.025)),Dict{Symbol,Union{Symbol,Vector{Int64}}}(:EEG => :auto),nothing,false)	stump_with_memoization	["TestOp_80","TestOp_80"]	["IA","IA"]	156	26	0.9482637730577105	2.703205128205128	3.789704338646878	-0.3730354844231083	20.817307692307693	23.90347956825712	91	46	13	10	9.619	fcf9c15e174c2fd75ff55b76af5b407bbff56ef66a29ffa359347230a0ec9c73	0.9451783831338887	5.204152564102564	6.54563043486952	-0.083124472328763	14.355948717948717	16.192816905419782	NaN	5000.0	437800.0	0.9451783831338887	5.204152564102564	6.54563043486952	0.020159035785690203	0.07674681862261662	0.0916402532425205	NaN	0.0	154400.0	183.653	("0f6f9db06792c3aeaaf1b766ce6d5e0b894430a1873d7c0a4783fabc99f86660", "5af2317c8543a01dd778ea9a4cb4837879e6c2f0410832d2c90ba12f3c689df5", "390e6280aa3e6d04bf085a477fbde162c7d295c14bdc93e7bb03b061d514ffc4", "2fecae9ca8becd47ca17730aec2434e7b814953dd4fdde56e870067cd5619479", "fb7dbc19d47b1614cd7a42b0cffff447f3f0a49c85ac85bec155532c0320095b")	
6	5	2/4	10	5	((25,),("NO","YES"))	("sure-v1",[:EEG],["liked"],String[],Dict{Symbol,NamedTuple}(:EEG => (nbands = 60,wintime = 0.05,steptime = 0.025)),Dict{Symbol,Union{Symbol,Vector{Int64}}}(:EEG => :auto),nothing,false)	stump_with_memoization	["TestOp_80","TestOp_80"]	["IA","IA"]	156	26	0.9475337909720336	2.705982905982906	3.872238470088169	0.2132827418038193	13.41923076923077	16.588426611221976	89	45	11	8	3.697	81994cd28b92c6f5c016e9e020af07458fc2f6e6c84ad831aff7df28f806239c	0.9440126211858576	5.375221794871794	6.779031918101209	-0.22774733567163463	12.970600000000001	15.720917027837192	NaN	5000.0	437440.0	0.9440126211858576	5.375221794871794	6.779031918101209	0.010117181695144887	0.10966240823471476	0.07576436593445401	NaN	0.0	72480.0	169.708	("ee24fd355b5c1909ed2d91d0489f86ca3f760735cc3befec2906474a334a0710", "904a7adce68e2b5d6727bd5bf6611e6e0c9b2bc0f4bdc13c141b90691f22f2fc", "98c7ea331e41b4825c1b7f4d5a1592a4a86e2d6658e616d81b093820b894cbc2", "51ec606ba86fdc4d1c0e8eed299292c577a7d346152826e64abd165d37453abf", "3ac3fc79eb80a9324bf8a94549742fb3394297c8673d8ebbff8de83034019748")	
7	5	2/4	10	5	((25,),("NO","YES"))	("sure-v1",[:EEG],["liked"],String[],Dict{Symbol,NamedTuple}(:EEG => (nbands = 60,wintime = 0.05,steptime = 0.025)),Dict{Symbol,Union{Symbol,Vector{Int64}}}(:EEG => :auto),nothing,false)	stump_with_memoization	["TestOp_80","TestOp_80"]	["IA","IA"]	156	26	0.9591604484382049	2.5087606837606837	3.458885498088783	0.13204721000216324	15.887820512820515	18.189022060140385	87	44	11	9	2.717	d8e7c70e1e28d94d1e654b4315681f4299d68c9ba0e0119f3e0bbefbe49c321f	0.9490556501313339	5.368013675213675	6.711396495970083	-0.10523673938140518	12.501289743589743	14.733455945205861	NaN	5000.0	438000.0	0.9490556501313339	5.368013675213675	6.711396495970083	0.0031821415850555143	0.0211127755259696	0.014514462065576834	NaN	0.0	52600.0	176.948	("b242a27f0a50e8bb8fe861732e56b5956518bcdb83732e31a8948a02144459dd", "2ba9bc7b09b4a60d7cdc6aafa6cc5b057755c5b844ab62b01392f5e8e58f0a2a", "d475281c8ab011f4ddc8c145305f6cb27f8eb6793b423f6313c17305682dce7c", "c12bb0be1f11c9caba3ef3f7669a8e91f2aaa16a4b9ba5876a41815a9a2db494", "70dc3795f15d5f3299d3be0424160ad4b219f26fb7e4f006b1df5c068a57e0c8")	
1	20	2/4	10	5	((25,),("NO","YES"))	("sure-v1",[:EEG],["liked"],String[],Dict{Symbol,NamedTuple}(:EEG => (nbands = 60,wintime = 0.05,steptime = 0.025)),Dict{Symbol,Union{Symbol,Vector{Int64}}}(:EEG => :auto),nothing,false)	stump_with_memoization	["TestOp_80","TestOp_80"]	["IA","IA"]	156	26	0.9628591821625296	2.3111111111111113	3.4491111204725655	-0.008656368411797838	13.327564102564102	17.15601580219394	81	41	10	10	29.765	9aad064e9ae7f8b78fafaa7e748d310ff6270c0c35987aca58a25efc483482fc	0.9587757468522294	5.574320085470086	6.902929360523645	-0.22893629908848476	10.316189743589742	11.937997346669826	NaN	5000.0	438680.0	0.9587757468522294	5.574320085470086	6.902929360523645	0.017634895202920213	0.06997580115055865	0.035711955724244855	NaN	0.0	35720.0	607.436	("36ec1dc58b07c70c31c5c5a7d5eb78024ac0747eddcb96ad54c455112b1ddf89", "b053af3ab3981f122ef3a603fb0ce26b0ad3a7b2a4759ea2a48eb1e124520dde", "d92d981d081d4a7d79758870bcf8cdf02022e4f981d1224dd3f4ddfcc2fcd9c4", "051e06756b696742c2943db6d55c8d19b41e01b28254a0d845366f59c0540d39", "c8a769897064b8340a8478207d11beb4ce3f44a03cb16517488a97a77584b143")	
2	20	2/4	10	5	((25,),("NO","YES"))	("sure-v1",[:EEG],["liked"],String[],Dict{Symbol,NamedTuple}(:EEG => (nbands = 60,wintime = 0.05,steptime = 0.025)),Dict{Symbol,Union{Symbol,Vector{Int64}}}(:EEG => :auto),nothing,false)	stump_with_memoization	["TestOp_80","TestOp_80"]	["IA","IA"]	156	26	0.9712134787029414	2.0354700854700853	3.0135910089510767	0.421222069845593	10.057692307692308	12.018978048625154	89	45	10	8	11.991	78fa4f846c4150609d940f75933bb7827af7c88709db80d4b7bbdd8bb8435f7f	0.9614304687706952	5.565914102564102	6.78223295792956	-0.0601708070362158	10.317220512820514	12.6354746164191	NaN	5000.0	438720.0	0.9614304687706952	5.565914102564102	6.78223295792956	0.01672936922556936	0.30607241456278805	0.2834263620293594	NaN	0.0	13720.0	512.03	("c909f061f3371b8a8fd751b0f217bbf465e3e66dbdd898a6839a0e039019667c", "fd52e0dcc0fa7da755e817ff6578ac78452cdd53fd9145c680b5722a9c7c7232", "a222ec2d9c350bf1fc2ae76935b9bd056ada904da6dcdd223091ea5b72e7175d", "3f821972b28e470396eed5ebee00e909e04736796846496cf023906d4cb67fa6", "7b211d6ede8f28b2b8c17a24a096e2d22f69e6ccc89297d628c3a2cfa12452b6")	
3	20	2/4	10	5	((25,),("NO","YES"))	("sure-v1",[:EEG],["liked"],String[],Dict{Symbol,NamedTuple}(:EEG => (nbands = 60,wintime = 0.05,steptime = 0.025)),Dict{Symbol,Union{Symbol,Vector{Int64}}}(:EEG => :auto),nothing,false)	stump_with_memoization	["TestOp_80","TestOp_80"]	["IA","IA"]	156	26	0.9591605907898967	2.4792735042735035	3.6113395719972803	-0.09007420299018576	14.998076923076923	18.395274441955788	81	41	14	12	26.035	3fd6c41ed691c19f3e0645b44bb67742f0474f0369770841c04c4532f9cb4d70	0.959019271481784	5.7057829059829075	6.981544075653504	0.07237940494365205	9.232035897435898	11.169965985841694	NaN	5000.0	440080.0	0.959019271481784	5.7057829059829075	6.981544075653504	0.013344444050034982	0.07679956199868525	0.08019651272790909	NaN	0.0	79720.0	492.102	("0fdf9c196798f5ea20a171129664dd8def2457b1df7706c81b258353fa514bcb", "aef6a184fd0b4da812337ff55c1e417985329dfe7592cc005be1c955233a2a3f", "c593226cd9603aa1b71bdc2af4ce4f9957a51eeed69503f918516961b97b351a", "7201f4da47090685757dd87cc7803dd1eb83c64add84034287580e59f6d5e076", "90c3953eb5d1b78df0c53be0952a869e962863b2ac874cbcc4a2992eb52896fb")	
