Dataseed	exec_aggr_points	exec_length	exec_n_desired_attributes	exec_n_desired_features	exec_convert_to_class_ttest	exec_dataset_params	use_training_form	canonical_features	ontology	# insts (TRAIN)	# insts (TEST)	T,(nothing, 3, 0.02, 0.001, false)train_cor	T,(nothing, 3, 0.02, 0.001, false)train_MAE	T,(nothing, 3, 0.02, 0.001, false)train_RMSE	T,(nothing, 3, 0.02, 0.001, false)cor	T,(nothing, 3, 0.02, 0.001, false)MAE	T,(nothing, 3, 0.02, 0.001, false)RMSE	T,(nothing, 3, 0.02, 0.001, false)n_nodes	T,(nothing, 3, 0.02, 0.001, false)n_leaves	T,(nothing, 3, 0.02, 0.001, false)height	T,(nothing, 3, 0.02, 0.001, false)modal_height	T,(nothing, 3, 0.02, 0.001, false)t	T,(nothing, 3, 0.02, 0.001, false)hash	RF,(half_f, 50, 0.7, identity, nothing, false)train_cor	RF,(half_f, 50, 0.7, identity, nothing, false)train_MAE	RF,(half_f, 50, 0.7, identity, nothing, false)train_RMSE	RF,(half_f, 50, 0.7, identity, nothing, false)cor	RF,(half_f, 50, 0.7, identity, nothing, false)MAE	RF,(half_f, 50, 0.7, identity, nothing, false)RMSE	RF,(half_f, 50, 0.7, identity, nothing, false)oob_error	RF,(half_f, 50, 0.7, identity, nothing, false)n_trees	RF,(half_f, 50, 0.7, identity, nothing, false)n_nodes	RF,(half_f, 50, 0.7, identity, nothing, false)σ² train_cor	RF,(half_f, 50, 0.7, identity, nothing, false)σ² train_MAE	RF,(half_f, 50, 0.7, identity, nothing, false)σ² train_RMSE	RF,(half_f, 50, 0.7, identity, nothing, false)σ² cor	RF,(half_f, 50, 0.7, identity, nothing, false)σ² MAE	RF,(half_f, 50, 0.7, identity, nothing, false)σ² RMSE	RF,(half_f, 50, 0.7, identity, nothing, false)σ² oob_error	RF,(half_f, 50, 0.7, identity, nothing, false)σ² n_trees	RF,(half_f, 50, 0.7, identity, nothing, false)σ² n_nodes	RF,(half_f, 50, 0.7, identity, nothing, false)t	RF,(half_f, 50, 0.7, identity, nothing, false)hash	
1	5	2/4	10	5	((25,),("NO","YES"))	("sure-v1",[:EEG],["liked"],String[],Dict{Symbol,NamedTuple}(:EEG => (nbands = 60,wintime = 0.05,steptime = 0.025)),Dict{Symbol,Union{Symbol,Vector{Int64}}}(:EEG => :auto),[:EEG],nothing,false)	stump_with_memoization	["TestOp_80","TestOp_80"]	["IA","IA"]	156	26	0.9574604107460242	2.5220085470085465	3.686209574297292	0.2671601791453503	12.187179487179485	16.185689970744523	87	44	14	12	35.29	5fb62e3b4728f0bbfcf5e8333beee2482e6c0324fb6b83de16fb25cadcb9859d	0.9518908906656585	5.725694871794872	7.175247902377303	-0.1357370472837701	10.035907692307694	11.62921455392096	NaN	5000.0	438600.0	0.9518908906656585	5.725694871794872	7.175247902377303	0.006008381231571466	0.04777846107823835	0.034526580001389806	NaN	0.0	149400.0	185.413	("21b1296451d31ec10682cfed69634f9cc83f0db178d6f83d38c3debd9cdfd3c0", "215ab57fc6310d2ac7480272bc683426dfc4860ab00f7c4e00faaf424308f23a", "78cce438662cc69c5a42fa62cda6fcb14d4e3a408b59bc3c708d232c1f8716fe", "74a0ac7c60658d1b53bf17a6c3d0d35fffaab30cd100567e9c24a3491cca25f5", "66b91eceff5310563d5d88cee48fed6d4c4661e84bc985fc63dba9e1dc82ac4e")	
2	5	2/4	10	5	((25,),("NO","YES"))	("sure-v1",[:EEG],["liked"],String[],Dict{Symbol,NamedTuple}(:EEG => (nbands = 60,wintime = 0.05,steptime = 0.025)),Dict{Symbol,Union{Symbol,Vector{Int64}}}(:EEG => :auto),[:EEG],nothing,false)	stump_with_memoization	["TestOp_80","TestOp_80"]	["IA","IA"]	156	26	0.9680641934135141	2.5264957264957264	3.1716223032051016	-0.18686291672895114	13.225000000000001	16.318013812542407	85	43	14	11	10.664	6b6413db5150e621d9e061789bfadef948385c5c357e20d4e5f096fd7a1c64cd	0.9491568539336825	5.8350797313797305	7.136365489349954	-0.2814207283388555	11.06444945054945	13.199401394015547	NaN	5000.0	439840.0	0.9491568539336825	5.8350797313797305	7.136365489349954	0.007224314754365153	0.248677708476902	0.18184573143932994	NaN	0.0	40280.0	189.354	("f5c05e1cbdb95039cc0de7ebc0909a88fbdcc7c62136f604aeda93a05176801e", "4e8ea233738dc14d562ec73a018b3c23362cb2ec400bfd6b093a4af44dfcc612", "91792a53213706f6dcad39f610c86f6e04a82b96e38c44da2d5bfe39aaf9132e", "bf4f404bc9280780db0835a8025074c2e56b6e87ec0d70df505ece21041c1107", "4da163428f62dbac0e64a63379fdee1ad59aae773278f83df56a43c986beef08")	
3	5	2/4	10	5	((25,),("NO","YES"))	("sure-v1",[:EEG],["liked"],String[],Dict{Symbol,NamedTuple}(:EEG => (nbands = 60,wintime = 0.05,steptime = 0.025)),Dict{Symbol,Union{Symbol,Vector{Int64}}}(:EEG => :auto),[:EEG],nothing,false)	stump_with_memoization	["TestOp_80","TestOp_80"]	["IA","IA"]	156	26	0.9200634805050101	3.4846153846153856	5.001773189853279	-0.23879518348205697	17.712820512820514	19.20486717155115	79	40	9	8	3.688	777c453b5e5c11491c1f6def1146b8fbeb66dc3d15bb57733aaf843d0c543526	0.9476229938691472	5.740269658119658	7.111451810761411	-0.2993463858776663	10.193858974358974	12.30406486995734	NaN	5000.0	441320.0	0.9476229938691472	5.740269658119658	7.111451810761411	0.001407672913165129	0.05873501043721266	0.035219711305061935	NaN	0.0	53920.0	180.659	("0fcc1bd40f7eab7c2c4c0ce337ff8533592c0bc8bc48d6704549cf7841c8a4bc", "d28f5d464e0a4004f29db3f498671ac9ab7926b00472e70eea986f68d8260540", "9f4998d868e58ba1261479b810f62cd96b50d4b06aabe97b2c509320652851de", "3b23b13359b695a1305d9c34f0c93342b783540c9647d9479e279930d8e690fd", "afdbd2359ae9f5a76c89b45d3ccf600ef4b9532a76d4870888d5aef8767fdcc6")	
4	5	2/4	10	5	((25,),("NO","YES"))	("sure-v1",[:EEG],["liked"],String[],Dict{Symbol,NamedTuple}(:EEG => (nbands = 60,wintime = 0.05,steptime = 0.025)),Dict{Symbol,Union{Symbol,Vector{Int64}}}(:EEG => :auto),[:EEG],nothing,false)	stump_with_memoization	["TestOp_80","TestOp_80"]	["IA","IA"]	156	26	0.9593970871600648	2.751495726495726	3.727811851016786	0.2814714895016792	9.307051282051283	11.356703374591659	83	42	16	10	11.306	4309a7edac62711f648aa45c1b2b3ee7b68c1f609118744089a2b3107066e5fa	0.9485062889924316	6.20354700854701	7.4643195145079675	0.1580479057824103	6.094335897435899	7.7006511944311296	NaN	5000.0	439240.0	0.9485062889924316	6.20354700854701	7.4643195145079675	0.00391092506379477	0.025999965105194	0.04413702520993247	NaN	0.0	61080.0	178.406	("8ff4803e1684263a348319e86c90a04c9e927fcfce9c4bc011abc8de128e4c06", "0d995c6f76197e2ee467b29779f11d1c841526174ba0242aafd19f3651e9967f", "c6accd97751db581a6ebfa1841853026c60b8fad90e2f9466b6522131f02d294", "2eb739d6a60804b2418cb6a6cf07a88bbaed200bd2c13a1c7c71362551a4620f", "77a9834c95b417b76dd07107d75474c61c6108655320512f55832c4d7dd26c3b")	
5	5	2/4	10	5	((25,),("NO","YES"))	("sure-v1",[:EEG],["liked"],String[],Dict{Symbol,NamedTuple}(:EEG => (nbands = 60,wintime = 0.05,steptime = 0.025)),Dict{Symbol,Union{Symbol,Vector{Int64}}}(:EEG => :auto),[:EEG],nothing,false)	stump_with_memoization	["TestOp_80","TestOp_80"]	["IA","IA"]	156	26	0.9485444397838615	2.873504273504274	3.779683091676374	-0.24584651770725385	17.119871794871795	20.894784498308884	83	42	13	12	14.049	bb295df201df8c4536dbf9bded65ae3d4987ea16b11c28f80f5a35c1c6273492	0.9508868886999686	5.341170695970696	6.680869151012223	-0.017622911685975108	14.239457509157509	15.97147032692512	NaN	5000.0	438920.0	0.9508868886999686	5.341170695970696	6.680869151012223	0.013514048532612394	0.14204495550289245	0.10285129736398822	NaN	0.0	63920.0	190.609	("fe600246d4a9652b8190d4e05c9a6142d903bf681e75087e01cd14fbf80b2e8d", "c520bccfa4f8e086131e8691936c2c966fd54becf9b40a29f387f349cc798bb4", "ef72f4a2eb1ed5b026a2d37984dea86b90a27a33530aa2250c2cc9175b246a1e", "1896c83ce9bf8721bad5fc7fc3bd62b1c75e23c75349557227930a13d07ef00e", "d6b0cc4e82419192ff87c15565bae4798cdc3b8ec7eef724e18cf7eca6addc1c")	
6	5	2/4	10	5	((25,),("NO","YES"))	("sure-v1",[:EEG],["liked"],String[],Dict{Symbol,NamedTuple}(:EEG => (nbands = 60,wintime = 0.05,steptime = 0.025)),Dict{Symbol,Union{Symbol,Vector{Int64}}}(:EEG => :auto),[:EEG],nothing,false)	stump_with_memoization	["TestOp_80","TestOp_80"]	["IA","IA"]	156	26	0.9699580046061023	2.2967948717948716	2.946949023483193	-0.3967502612387632	17.165384615384617	21.917270148657444	87	44	12	11	9.665	13da0d838b0ce55099ee44a139decd9e9780ce02450cdf8e45a6abbc3ceeee1b	0.949309535577761	5.296728205128206	6.590053789679489	-0.3877686839837766	13.805030769230768	16.920887640668727	NaN	5000.0	438440.0	0.949309535577761	5.296728205128206	6.590053789679489	0.002657750531993554	0.07927120567061266	0.06148790671081238	NaN	0.0	145080.0	163.846	("d5396d74ddd072d38cd771056a1dd05f5173811ca90a0ea559785b4c093998aa", "d78882cec61740bad2c323810de20713cef75f3424d736f9224072cd8410f920", "4ef36f7edfd2dd1022671b3d321fc3e37bfa82dbc3ffe37b6b35a4b95521bf2e", "d27589a5f66826e527a5fbdad4388dc38ca4f60599b9b3e7996e9e87e915dcb2", "ff706ece6f65ea8a869417b1e49ffd5afaa57b0232eaef6c24741a8284a61e98")	
7	5	2/4	10	5	((25,),("NO","YES"))	("sure-v1",[:EEG],["liked"],String[],Dict{Symbol,NamedTuple}(:EEG => (nbands = 60,wintime = 0.05,steptime = 0.025)),Dict{Symbol,Union{Symbol,Vector{Int64}}}(:EEG => :auto),[:EEG],nothing,false)	stump_with_memoization	["TestOp_80","TestOp_80"]	["IA","IA"]	156	26	0.9576146045379875	2.5585470085470083	3.522349279166454	-0.2005872317444802	17.60448717948718	20.474457456051383	87	44	11	7	4.539	fa2c4ab318c9e7215d6231811d37c86c96e7cd4d219e0de6217ccf0e729ca846	0.9519010205879775	5.476469413919414	6.825902365803491	-0.19668573363041048	12.463406959706958	14.87516276007122	NaN	5000.0	439040.0	0.9519010205879775	5.476469413919414	6.825902365803491	0.045185659051700494	0.29797646613633666	0.272355673742203	NaN	0.0	44480.0	192.925	("df188d9391d073506dfda5f69befee4ae554111dc020144777e6b5145b07adb7", "3c47e5a137906e535d81b228b020c3a1c701f56857cc533db3123aa0a1645c3c", "3e7bdf613148cf31e201a3f1ba98281129f63e83ec3dd3fa48dd31dce40f4979", "2bcdbfdfaf6bca73f6ca043534e2caac77013b6a4eef704b1ca61bf90a673d23", "4d979f14e461997597a3d272e354096411d04ee6330e0039a97f457008f096ce")	
1	20	2/4	10	5	((25,),("NO","YES"))	("sure-v1",[:EEG],["liked"],String[],Dict{Symbol,NamedTuple}(:EEG => (nbands = 60,wintime = 0.05,steptime = 0.025)),Dict{Symbol,Union{Symbol,Vector{Int64}}}(:EEG => :auto),[:EEG],nothing,false)	stump_with_memoization	["TestOp_80","TestOp_80"]	["IA","IA"]	156	26	0.9659104575388936	2.2175213675213676	3.3069629985084905	0.08703332773569242	14.332051282051282	17.56330673847449	87	44	10	7	38.935	2ad7b77aba5e0a9e87eeceea047ac21e73bbae3d1c3c9b487c7498c849dbb3d9	0.9601458926919051	5.586289316239316	7.008632991219892	0.05085183764369962	9.600935897435898	11.267790269081233	NaN	5000.0	437840.0	0.9601458926919051	5.586289316239316	7.008632991219892	0.01793189077150222	0.11957750262984923	0.05163060452777255	NaN	0.0	84080.0	717.303	("962f428f3031ef55a9de98b1452da8a2b99277ead060627de91b948f6c9c3b17", "62828b61f3f2f8339846930f174092c84a3fbef874790b3e0ce2f3798ca5190b", "0a1412fd42eab464702527109f53e40dc9af8855a5f84096b22014967abc8f80", "c0551bc9e674f362e02bab48a774e4a1ef95bffac11b69df6c4b5bfb2c18528c", "e020357632cc0fa4717c0d31fdc569f44a825121623f03b2444ed2b415f2fcc1")	
2	20	2/4	10	5	((25,),("NO","YES"))	("sure-v1",[:EEG],["liked"],String[],Dict{Symbol,NamedTuple}(:EEG => (nbands = 60,wintime = 0.05,steptime = 0.025)),Dict{Symbol,Union{Symbol,Vector{Int64}}}(:EEG => :auto),[:EEG],nothing,false)	stump_with_memoization	["TestOp_80","TestOp_80"]	["IA","IA"]	156	26	0.9752595950390931	2.044871794871795	2.7966516915341257	-0.00606474962450219	14.84871794871795	19.471505589309984	87	44	11	10	27.315	d66bba9bce6de8b92db94f29996121bdf4af2fbf6dfea699e92ec0e817f204d8	0.9558082024288928	5.695490537240538	6.9957084697219045	-0.2744302956724007	10.761579487179487	13.277485844760815	NaN	5000.0	437640.0	0.9558082024288928	5.695490537240538	6.9957084697219045	0.0760522275724247	0.21921429884944055	0.2082187728057573	NaN	0.0	39080.0	591.148	("c62dac7c5aa220554b04fa10d513adb8e0b5ad8f3e74a417d265a1eaebec0f8c", "e3c9a778950209057b0c705474c3b68c991d5c3eab57b356e6f4fc676cbac75a", "d000cece53b9eba63937bd0bc344b70d5da54ebc5c863975bf0f3bffb50c1438", "758f1b442c4dfe47967b18a0921d66a82166303a2f08dafe9e7ae83ce915db33", "d165097a26e08d86c9d4d47299f03578d08ad3590aefdf2492c1a8e8f3f01751")	
3	20	2/4	10	5	((25,),("NO","YES"))	("sure-v1",[:EEG],["liked"],String[],Dict{Symbol,NamedTuple}(:EEG => (nbands = 60,wintime = 0.05,steptime = 0.025)),Dict{Symbol,Union{Symbol,Vector{Int64}}}(:EEG => :auto),[:EEG],nothing,false)	stump_with_memoization	["TestOp_80","TestOp_80"]	["IA","IA"]	156	26	0.9701714809894603	2.1465811965811965	3.095005626660446	0.020364953324881994	12.705769230769233	15.386868291239963	87	44	11	8	11.073	b216490e77cb60cab3da1f58d793c093991c589498724c7140c52e808f418b2f	0.9648751084003173	5.555490964590966	6.850000177507445	-0.16889024708359265	9.83582564102564	11.77049405314408	NaN	5000.0	439040.0	0.9648751084003173	5.555490964590966	6.850000177507445	0.036024705055359034	0.21018761946088135	0.172927830697463	NaN	0.0	63480.0	538.774	("56dc5a7bc75511f5495195f17a7911766c385c4f75c221ee10e3663e9472447e", "2fd3f762e7dfc84f0a06720be0abbcaebfa6672d9c529b02fbf7376853185ddc", "9191c9f037134036d32aea525daf0bb3bc73b8bdf4d264a53ceb5c6d5eab93e1", "203714869ff3ae66fbbbf09048957e73b434cffc39994906fcbf0280ed6a8216", "0b907f824fee51e5576c79289b3b12f484a517c2d2692f63813e4f9f5d53fa46")	
